City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Los Llanos De Aridane,ES,73.15,volcanic ash,28.6585,-17.9182,Valle Aridane
3,Barbacoas,CO,80.83,broken clouds,1.6715,-78.1398,edificio justin
5,Castro,BR,72.36,few clouds,-24.7911,-50.0119,CHACARA BAILLY
6,Rikitea,PF,73.78,few clouds,-23.1203,-134.9692,People ThankYou
7,Jamestown,US,62.51,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
8,Kavieng,PG,82.33,clear sky,-2.5744,150.7967,Nusa Island Retreat
9,Puerto Ayora,EC,71.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Anloga,GH,86.22,overcast clouds,5.7947,0.8973,Pin Drop Hotel
14,Cape Town,ZA,68.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
17,Tezu,IN,78.49,scattered clouds,27.9167,96.1667,Circuit House
18,Albany,US,66.81,overcast clouds,42.6001,-73.9662,
20,Port Alfred,ZA,71.87,overcast clouds,-33.5906,26.891,The Halyards Hotel
23,Edea,CM,83.98,light rain,3.8,10.1333,Micotel Hotel
24,Georgetown,MY,83.95,scattered clouds,5.4112,100.3354,Cititel Penang
26,Chongwe,ZM,86.74,clear sky,-15.3292,28.682,Grakas Lodge
27,East London,ZA,77.94,clear sky,-33.0153,27.9116,Tu Casa
30,Kapaa,US,77.32,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Hambantota,LK,84.54,broken clouds,6.1241,81.1185,Bungalow 63
32,Geraldton,AU,63.12,light rain,-28.7667,114.6,Broadwater Mariner Resort
33,Koraput,IN,72.86,overcast clouds,18.8167,82.7167,Raj Residency
34,Vanimo,PG,79.41,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
35,Bubaque,GW,80.4,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
38,Airai,TL,60.33,overcast clouds,-8.9266,125.4092,Juvinal Martin
40,Nago,JP,84.27,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
41,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
42,Kerema,PG,77.97,broken clouds,-7.9631,145.7785,Frena Lodge
43,Atuona,PF,77.97,scattered clouds,-9.8,-139.0333,Villa Enata
44,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
45,Hithadhoo,MV,83.43,overcast clouds,-0.6,73.0833,Scoop Guest House
48,Fonte Boa,BR,84.58,scattered clouds,-2.4959,-66.2662,
49,Katobu,ID,74.37,few clouds,-4.9408,122.5276,La Ode Husein
51,Tateyama,JP,71.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
52,Lasa,IT,72.01,clear sky,46.6166,10.7002,Pension Feldgärtenhof
55,Vao,NC,67.68,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
57,Miraflores,MX,60.03,broken clouds,19.2167,-98.8083,Hotel Mansión
60,Port Hedland,AU,73.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
62,Hilo,US,72.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
63,Myitkyina,MM,80.31,few clouds,25.3833,97.4,Shwe Phyu Hotel
64,Yumen,CN,60.85,clear sky,40.2833,97.2,
65,Buchanan,LR,85.96,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
67,Hasaki,JP,66.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
69,Abbeville,FR,78.69,broken clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
70,Port Elizabeth,ZA,76.1,clear sky,-33.918,25.5701,39 On Nile Guest House
