City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pangnirtung,CA,66.1451,-65.7125,33.8,64,75,3.44,broken clouds
1,Ushuaia,AR,-54.8,-68.3,40.66,56,75,12.66,broken clouds
2,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,77,75,6.91,volcanic ash
3,Barbacoas,CO,1.6715,-78.1398,80.83,83,71,1.72,broken clouds
4,Deputatskiy,RU,69.3,139.9,26.46,86,100,16.33,overcast clouds
5,Castro,BR,-24.7911,-50.0119,72.36,54,12,3.42,few clouds
6,Rikitea,PF,-23.1203,-134.9692,73.78,73,15,14.94,few clouds
7,Jamestown,US,42.097,-79.2353,62.51,72,1,5.01,clear sky
8,Kavieng,PG,-2.5744,150.7967,82.33,78,9,15.08,clear sky
9,Puerto Ayora,EC,-0.7393,-90.3518,71.56,87,99,8.57,overcast clouds
10,Anloga,GH,5.7947,0.8973,86.22,83,99,10.76,overcast clouds
11,Bluff,NZ,-46.6,168.3333,38.8,64,59,19.53,broken clouds
12,Hovd,MN,48.0056,91.6419,42.4,44,3,4.83,clear sky
13,Kodiak,US,57.79,-152.4072,37.4,59,29,4.12,scattered clouds
14,Cape Town,ZA,-33.9258,18.4232,68.11,69,0,20.71,clear sky
15,Tuatapere,NZ,-46.1333,167.6833,38.82,86,93,8.84,overcast clouds
16,Yellowknife,CA,62.456,-114.3525,45.41,100,90,8.05,overcast clouds
17,Tezu,IN,27.9167,96.1667,78.49,82,31,4.56,scattered clouds
18,Albany,US,42.6001,-73.9662,66.81,78,100,1.39,overcast clouds
19,Tasiilaq,GL,65.6145,-37.6368,39.36,69,100,5.91,overcast clouds
20,Port Alfred,ZA,-33.5906,26.891,71.87,68,100,6.82,overcast clouds
21,Ilulissat,GL,69.2167,-51.1,24.82,54,75,5.75,broken clouds
22,Mar Del Plata,AR,-38.0023,-57.5575,57.99,63,90,11.01,overcast clouds
23,Edea,CM,3.8,10.1333,83.98,81,98,3.69,light rain
24,Georgetown,MY,5.4112,100.3354,83.95,83,40,1.01,scattered clouds
25,Chokurdakh,RU,70.6333,147.9167,32.79,97,100,13.38,overcast clouds
26,Chongwe,ZM,-15.3292,28.682,86.74,17,4,11.03,clear sky
27,East London,ZA,-33.0153,27.9116,77.94,61,0,9.22,clear sky
28,Mataura,NZ,-46.1927,168.8643,38.48,98,86,3.69,overcast clouds
29,Sistranda,NO,63.7256,8.834,50.9,77,90,19.13,overcast clouds
30,Kapaa,US,22.0752,-159.319,77.32,80,90,1.99,overcast clouds
31,Hambantota,LK,6.1241,81.1185,84.54,74,75,6.91,broken clouds
32,Geraldton,AU,-28.7667,114.6,63.12,82,75,4.61,light rain
33,Koraput,IN,18.8167,82.7167,72.86,88,100,1.81,overcast clouds
34,Vanimo,PG,-2.6741,141.3028,79.41,87,67,6.02,broken clouds
35,Bubaque,GW,11.2833,-15.8333,80.4,80,85,7.07,overcast clouds
36,Ahipara,NZ,-35.1667,173.1667,57.7,84,100,6.49,overcast clouds
37,Karasjok,NO,69.4719,25.5112,46.51,88,100,5.17,overcast clouds
38,Airai,TL,-8.9266,125.4092,60.33,91,99,1.92,overcast clouds
39,Sitka,US,57.0531,-135.33,44.49,93,75,5.75,light rain
40,Nago,JP,26.5881,127.9761,84.27,85,7,10.02,light rain
41,Vaini,TO,-21.2,-175.2,69.96,78,75,8.05,broken clouds
42,Kerema,PG,-7.9631,145.7785,77.97,92,80,5.99,broken clouds
43,Atuona,PF,-9.8,-139.0333,77.97,76,26,17.9,scattered clouds
44,Padang,ID,-0.9492,100.3543,80.65,87,99,1.54,overcast clouds
45,Hithadhoo,MV,-0.6,73.0833,83.43,73,100,11.05,overcast clouds
46,Saskylakh,RU,71.9167,114.0833,30.33,92,83,15.21,broken clouds
47,Severo-Kurilsk,RU,50.6789,156.125,47.37,91,100,14.41,light rain
48,Fonte Boa,BR,-2.4959,-66.2662,84.58,66,35,3.15,scattered clouds
49,Katobu,ID,-4.9408,122.5276,74.37,88,13,4.32,few clouds
50,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,100,90,21.85,snow
51,Tateyama,JP,34.9833,139.8667,71.1,71,100,15.12,overcast clouds
52,Lasa,IT,46.6166,10.7002,72.01,46,0,4.16,clear sky
53,Dikson,RU,73.5069,80.5464,36.82,88,100,18.28,overcast clouds
54,Talnakh,RU,69.4865,88.3972,32.18,72,79,1.12,broken clouds
55,Vao,NC,-22.6667,167.4833,67.68,63,3,9.66,clear sky
56,Barrow,US,71.2906,-156.7887,21.22,86,90,8.05,overcast clouds
57,Miraflores,MX,19.2167,-98.8083,60.03,86,74,3.62,broken clouds
58,Khatanga,RU,71.9667,102.5,30.02,91,100,9.64,overcast clouds
59,Nuuk,GL,64.1835,-51.7216,30.81,59,1,16.11,clear sky
60,Port Hedland,AU,-20.3167,118.5667,73.45,68,10,9.22,clear sky
61,Busselton,AU,-33.65,115.3333,57.04,73,94,12.73,overcast clouds
62,Hilo,US,19.7297,-155.09,72.28,80,1,8.05,clear sky
63,Myitkyina,MM,25.3833,97.4,80.31,75,21,1.79,few clouds
64,Yumen,CN,40.2833,97.2,60.85,30,0,5.53,clear sky
65,Buchanan,LR,5.8808,-10.0467,85.96,71,98,10.49,overcast clouds
66,Nikolskoye,RU,59.7035,30.7861,51.4,95,100,6.2,overcast clouds
67,Hasaki,JP,35.7333,140.8333,66.6,64,100,16.93,overcast clouds
68,Beisfjord,NO,68.3751,17.5988,49.24,98,100,3.65,light rain
69,Abbeville,FR,50.1,1.8333,78.69,46,66,6.64,broken clouds
70,Port Elizabeth,ZA,-33.918,25.5701,76.1,56,0,19.57,clear sky
71,Castrillon,ES,43.3979,-6.7922,64.94,77,100,4.23,overcast clouds
72,Poronaysk,RU,49.2167,143.1167,47.71,83,0,4.25,clear sky
73,Bredasdorp,ZA,-34.5322,20.0403,81.72,18,96,24.16,overcast clouds
74,Ribeira Grande,PT,38.5167,-28.7,73.8,88,75,9.22,broken clouds
75,Okha,RU,53.5739,142.9478,48.42,82,65,8.84,broken clouds
76,Mahebourg,MU,-20.4081,57.7,72.25,78,40,13.8,scattered clouds
77,Punta Arenas,CL,-53.15,-70.9167,41.11,65,75,17.27,broken clouds
78,Russell,US,32.3502,-85.1999,70.92,79,30,1.61,scattered clouds
79,Avarua,CK,-21.2078,-159.775,75.25,69,40,11.5,scattered clouds
80,Zheleznodorozhnyy,RU,55.7503,38.0042,50.36,83,100,7.16,moderate rain
81,Marsa Matruh,EG,31.3525,27.2453,75.72,54,2,13.98,clear sky
82,Puro,PH,12.4841,123.3827,81.19,81,80,7.11,broken clouds
83,Port Lincoln,AU,-34.7333,135.8667,51.76,65,56,13.49,broken clouds
84,Tiksi,RU,71.6872,128.8694,32.81,89,100,20.11,overcast clouds
85,Buchmany,UA,51.0689,28.0421,57.45,81,100,13.67,overcast clouds
86,Clyde River,CA,70.4692,-68.5914,28.63,86,75,0.0,broken clouds
87,Hun,LY,29.1268,15.9477,88.39,21,0,13.8,clear sky
88,Coquimbo,CL,-29.9533,-71.3436,55.13,87,90,4.61,overcast clouds
89,Qaqortoq,GL,60.7167,-46.0333,39.7,38,0,0.45,clear sky
90,Alta Floresta,BR,-9.8756,-56.0861,87.62,55,0,3.44,clear sky
91,Gat,IL,31.61,34.7642,84.4,43,0,18.16,clear sky
92,Ponta Do Sol,PT,32.6667,-17.1,78.01,65,98,2.33,overcast clouds
93,Chuy,UY,-33.6971,-53.4616,62.02,83,98,10.96,overcast clouds
94,Lata,PT,40.1629,-8.3327,75.34,77,99,8.21,overcast clouds
95,Vinh,VN,18.6667,105.6667,76.89,91,100,1.95,overcast clouds
96,Kodinsk,RU,58.6881,99.1844,37.9,72,100,1.83,overcast clouds
97,Agidel,RU,55.9077,53.9355,48.78,70,100,7.0,overcast clouds
98,Banda Aceh,ID,5.5577,95.3222,80.92,78,46,10.49,scattered clouds
99,Poum,NC,-20.2333,164.0167,71.42,69,98,4.76,overcast clouds
100,Torbay,CA,47.6666,-52.7314,55.89,72,75,4.61,broken clouds
101,Butaritari,KI,3.0707,172.7902,83.23,73,71,9.35,broken clouds
102,Thompson,CA,55.7435,-97.8558,42.96,100,90,5.75,overcast clouds
103,Vila Velha,BR,-20.3297,-40.2925,80.55,58,20,13.8,few clouds
104,Mitu,CO,1.1983,-70.1733,73.85,91,100,3.06,overcast clouds
105,Kazan,RU,55.7887,49.1221,48.81,79,100,1.7,overcast clouds
106,Matay,EG,28.419,30.7792,88.84,25,0,14.23,clear sky
107,Vadlapudi,IN,14.3167,79.8,88.41,58,100,6.51,overcast clouds
108,Qaanaaq,GL,77.484,-69.3632,20.35,70,99,8.25,overcast clouds
109,Leua,SK,48.2156,18.6071,77.5,43,0,7.05,clear sky
110,Horqueta,PY,-23.3428,-57.0597,87.73,26,0,3.4,clear sky
111,Turukhansk,RU,65.8167,87.9833,33.12,85,6,7.34,clear sky
112,Muros,ES,42.7762,-9.0603,72.99,78,42,9.73,scattered clouds
113,Ketchikan,US,55.3422,-131.6461,45.07,93,20,0.0,few clouds
114,Alexandria,EG,31.2156,29.9553,76.35,56,0,11.07,clear sky
115,Vitim,RU,59.4511,112.5578,41.25,84,100,7.43,overcast clouds
116,Kysyl-Syr,RU,63.8986,122.7617,32.94,80,12,5.03,few clouds
117,Olga,RU,43.7444,135.2892,54.63,95,100,3.15,overcast clouds
118,Huarmey,PE,-10.0681,-78.1522,66.47,78,87,7.49,overcast clouds
119,Bethel,US,41.3712,-73.414,69.93,85,1,0.0,clear sky
120,College,US,64.8569,-147.8028,30.29,94,90,0.0,light snow
121,Hobart,AU,-42.8794,147.3294,42.66,77,90,6.91,overcast clouds
122,Koslan,RU,63.4564,48.8989,44.69,93,100,8.08,overcast clouds
123,Samoylovka,RU,51.184,43.7081,54.93,60,100,4.74,overcast clouds
124,Todos Santos,MX,23.45,-110.2167,83.01,92,6,4.21,clear sky
125,Hunenberg,CH,47.1754,8.425,80.73,62,37,1.01,scattered clouds
126,Duncan,US,34.5023,-97.9578,69.39,55,1,5.75,clear sky
127,La Huerta,MX,19.4667,-104.65,73.51,91,70,1.9,broken clouds
128,Aklavik,CA,68.2191,-135.0107,32.83,93,90,10.36,light snow
129,Tura,IN,25.5198,90.2201,75.87,91,100,2.93,overcast clouds
130,Riacho De Santana,BR,-13.6092,-42.9389,90.45,30,0,4.05,clear sky
131,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,64,75,21.85,broken clouds
132,Pichayevo,RU,53.2363,42.2032,54.97,61,100,6.04,overcast clouds
133,Belaya Gora,RU,68.5333,146.4167,32.32,96,100,17.13,light snow
134,Bud,US,39.447,-86.1758,59.31,84,99,8.12,overcast clouds
135,Yerbogachen,RU,61.2767,108.0108,39.45,82,90,7.74,overcast clouds
136,Kopanskaya,RU,46.2779,38.4795,61.7,61,1,14.88,clear sky
137,Longkou,CN,37.6508,120.3286,69.78,82,100,8.46,moderate rain
138,Atar,MR,20.5169,-13.0499,102.31,14,93,6.78,overcast clouds
139,Hamilton,US,39.1834,-84.5333,61.43,85,75,3.0,broken clouds
140,Kununurra,AU,-15.7667,128.7333,69.78,60,2,0.0,clear sky
141,Sambava,MG,-14.2667,50.1667,73.98,79,0,15.12,clear sky
142,San Patricio,US,28.017,-97.5169,80.87,56,3,8.14,clear sky
143,Saint-Philippe,RE,-21.3585,55.7679,72.99,71,75,13.49,broken clouds
144,Norman Wells,CA,65.282,-126.8329,32.04,93,90,13.8,light snow
145,Kaitangata,NZ,-46.2817,169.8464,37.96,89,38,8.16,scattered clouds
146,Olafsvik,IS,64.8945,-23.7142,42.4,73,100,37.69,overcast clouds
147,Pevek,RU,69.7008,170.3133,30.22,98,100,14.65,snow
148,Vardo,NO,70.3705,31.1107,48.4,91,100,8.39,overcast clouds
149,Carnarvon,AU,-24.8667,113.6333,66.27,72,40,9.22,scattered clouds
150,New Norfolk,AU,-42.7826,147.0587,42.3,69,12,3.38,few clouds
151,Roma,US,43.2128,-75.4557,66.4,89,1,5.75,clear sky
152,Juneau,US,58.3019,-134.4197,46.4,94,75,6.91,light rain
153,Tessalit,ML,20.1986,1.0114,104.14,5,4,12.95,clear sky
154,Fortuna,US,40.5982,-124.1573,53.65,69,7,2.3,clear sky
155,Lagoa Formosa,BR,-18.7786,-46.4075,84.02,25,87,8.46,overcast clouds
156,Cabo San Lucas,MX,22.8909,-109.9124,83.52,85,13,3.13,few clouds
157,Cockburn Town,TC,21.4612,-71.1419,82.29,72,1,4.29,clear sky
158,Gimli,CA,50.6336,-96.9907,52.43,76,88,6.91,overcast clouds
159,Uray,RU,60.1247,64.7758,37.92,76,11,7.38,few clouds
