City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dunedin,NZ,2021-09-22 21:18:01,-45.8742,170.5036,52.07,57,0,4.03
1,Miles City,US,2021-09-22 21:14:09,46.4083,-105.8406,88.52,14,1,12.66
2,Talnakh,RU,2021-09-22 21:18:06,69.4865,88.3972,33.84,76,98,9.22
3,Portland,US,2021-09-22 21:17:55,45.5234,-122.6762,72.41,65,75,1.99
4,Saint-Joseph,RE,2021-09-22 21:18:11,-21.3667,55.6167,66.56,79,31,9.86
5,Busselton,AU,2021-09-22 21:18:11,-33.65,115.3333,47.05,92,0,9.8
6,Puerto Ayora,EC,2021-09-22 21:18:11,-0.7393,-90.3518,78.76,84,74,10.74
7,Hami,CN,2021-09-22 21:18:12,42.8,93.45,64.4,23,40,8.05
8,Saveh,IR,2021-09-22 21:18:12,35.0213,50.3566,78.15,17,2,2.26
9,Ferrol,ES,2021-09-22 21:18:12,43.4832,-8.2369,64.27,79,1,12.01
10,Chuzhou,CN,2021-09-22 21:18:13,32.3219,118.2978,72.43,69,47,3.18
11,Tasiilaq,GL,2021-09-22 21:18:13,65.6145,-37.6368,33.96,67,1,4.0
12,Hermanus,ZA,2021-09-22 21:18:13,-34.4187,19.2345,65.89,68,63,11.03
13,Albany,US,2021-09-22 21:13:18,42.6001,-73.9662,78.85,75,90,10.16
14,Mazagao,BR,2021-09-22 21:18:14,-0.115,-51.2894,89.65,63,57,8.16
15,Ribeira Grande,PT,2021-09-22 21:18:14,38.5167,-28.7,71.69,78,8,15.93
16,Chokurdakh,RU,2021-09-22 21:18:15,70.6333,147.9167,27.41,81,88,1.95
17,Punta Arenas,CL,2021-09-22 21:18:15,-53.15,-70.9167,46.51,61,40,23.02
18,Haines Junction,CA,2021-09-22 21:18:16,60.7522,-137.5108,37.35,65,98,3.44
19,Mataura,NZ,2021-09-22 21:18:16,-46.1927,168.8643,46.47,57,4,4.14
20,Les Cayes,HT,2021-09-22 21:18:16,18.2,-73.75,84.18,73,100,5.73
21,Hilo,US,2021-09-22 21:18:17,19.7297,-155.09,80.8,70,75,8.05
22,Tuktoyaktuk,CA,2021-09-22 21:18:17,69.4541,-133.0374,37.4,65,75,18.41
23,Sao Filipe,CV,2021-09-22 21:18:17,14.8961,-24.4956,79.39,80,26,6.17
24,Nikolskoye,RU,2021-09-22 21:18:18,59.7035,30.7861,45.01,72,100,3.2
25,Meulaboh,ID,2021-09-22 21:18:18,4.1363,96.1285,75.47,91,98,3.49
26,Hualmay,PE,2021-09-22 21:18:18,-11.0964,-77.6139,64.71,78,97,12.33
27,Thompson,CA,2021-09-22 21:18:19,55.7435,-97.8558,59.16,82,90,3.44
28,Port Lincoln,AU,2021-09-22 21:18:19,-34.7333,135.8667,48.29,85,1,9.6
29,Bluff,NZ,2021-09-22 21:18:19,-46.6,168.3333,46.8,71,15,8.77
30,Ushuaia,AR,2021-09-22 21:15:08,-54.8,-68.3,51.42,71,97,50.64
31,Mar Del Plata,AR,2021-09-22 21:18:20,-38.0023,-57.5575,55.42,88,90,8.05
32,Butaritari,KI,2021-09-22 21:18:20,3.0707,172.7902,82.71,67,97,15.82
33,Provideniya,RU,2021-09-22 21:18:21,64.3833,-173.3,32.11,59,0,4.47
34,La Ronge,CA,2021-09-22 21:18:22,55.1001,-105.2842,61.05,55,75,4.61
35,Olafsvik,IS,2021-09-22 21:18:22,64.8945,-23.7142,42.35,67,7,7.9
36,East London,ZA,2021-09-22 21:18:22,-33.0153,27.9116,62.29,76,0,19.15
37,Port Alfred,ZA,2021-09-22 21:18:23,-33.5906,26.891,61.02,82,5,22.41
38,Pekan Nenas,MY,2021-09-22 21:18:23,1.51,103.5141,76.98,86,100,1.57
39,Havelock,US,2021-09-22 21:18:24,34.8791,-76.9013,80.55,94,75,1.99
40,Dikson,RU,2021-09-22 21:18:24,73.5069,80.5464,35.8,98,100,9.04
41,Tommot,RU,2021-09-22 21:18:25,58.9564,126.2925,47.01,89,100,5.39
42,Kangaatsiaq,GL,2021-09-22 21:18:25,68.3065,-53.4641,30.94,70,90,9.33
43,Castro,BR,2021-09-22 21:16:23,-24.7911,-50.0119,56.12,73,20,11.9
44,Kodiak,US,2021-09-22 21:18:26,57.79,-152.4072,47.71,57,75,4.61
45,Biak,ID,2021-09-22 21:18:26,-0.9131,122.8766,73.42,91,99,5.79
46,Hobart,AU,2021-09-22 21:15:02,-42.8794,147.3294,58.26,56,75,8.99
47,Neiafu,TO,2021-09-22 21:18:27,-18.65,-173.9833,77.68,83,90,11.5
48,Waingapu,ID,2021-09-22 21:18:27,-9.6567,120.2641,76.8,83,35,8.75
49,Garissa,KE,2021-09-22 21:18:27,-0.4536,39.6401,75.94,77,32,19.35
